date,product,region,units,revenue
2026-03-27,Doohickey,Central,179,6812.76
2026-04-28,Widget-A,North,234,18854.39
2026-05-01,Widget-B,South,267,14272.04
2026-06-02,Gadget-X,East,244,4581.36
2026-07-03,Gadget-Y,West,370,26898.52
2026-08-04,Doohickey,Central,164,2629.85
2026-09-05,Widget-A,North,23,1906.85
2026-10-06,Widget-B,South,59,709.34
2026-11-07,Gadget-X,East,176,12022.08
2026-12-08,Gadget-Y,West,347,28452.1
2026-01-09,Doohickey,Central,477,47004.08
2026-02-10,Widget-A,North,125,7053.68
2026-03-11,Widget-B,South,283,6905.83
2026-04-12,Gadget-X,East,287,13880.25
2026-05-13,Gadget-Y,West,237,7313.11
2026-06-14,Doohickey,Central,208,13867.03
2026-07-15,Widget-A,North,96,6492.78
2026-08-16,Widget-B,South,222,10121.52
2026-09-17,Gadget-X,East,378,24668.14
2026-10-18,Gadget-Y,West,102,5146.08
2026-11-19,Doohickey,Central,220,9896.75
2026-12-20,Widget-A,North,361,10585.12
2026-01-21,Widget-B,South,143,11111.0
2026-02-22,Gadget-X,East,415,33876.75
2026-03-23,Gadget-Y,West,296,5667.71
2026-04-24,Doohickey,Central,447,26064.57
2026-05-25,Widget-A,North,188,7393.78
2026-06-26,Widget-B,South,235,4757.8
2026-07-27,Gadget-X,East,344,30143.79
2026-08-28,Gadget-Y,West,271,26265.99
2026-09-01,Doohickey,Central,161,10258.5
2026-10-02,Widget-A,North,313,14184.83
2026-11-03,Widget-B,South,59,2436.89
2026-12-04,Gadget-X,East,433,22168.5
2026-01-05,Gadget-Y,West,89,7407.15
2026-02-06,Doohickey,Central,362,29700.36
2026-03-07,Widget-A,North,471,30753.29
2026-04-08,Widget-B,South,44,3101.12
2026-05-09,Gadget-X,East,161,3316.21
2026-06-10,Gadget-Y,West,157,3220.92
2026-07-11,Doohickey,Central,192,13900.66
2026-08-12,Widget-A,North,262,11777.34
2026-09-13,Widget-B,South,306,6853.81
2026-10-14,Gadget-X,East,197,9468.51
2026-11-15,Gadget-Y,West,250,16796.29
2026-12-16,Doohickey,Central,356,33006.36
2026-01-17,Widget-A,North,477,47690.92
2026-02-18,Widget-B,South,285,7127.25
2026-03-19,Gadget-X,East,148,3347.27
2026-04-20,Gadget-Y,West,162,13894.52
2026-05-21,Doohickey,Central,318,4711.17
2026-06-22,Widget-A,North,184,17600.66
2026-07-23,Widget-B,South,249,5547.25
2026-08-24,Gadget-X,East,418,18619.8
2026-09-25,Gadget-Y,West,288,15978.07
2026-10-26,Doohickey,Central,254,11890.27
2026-11-27,Widget-A,North,252,11943.98
2026-12-28,Widget-B,South,431,21522.7
2026-01-01,Gadget-X,East,86,1499.01
2026-02-02,Gadget-Y,West,16,1305.91
2026-03-03,Doohickey,Central,113,4099.42
2026-04-04,Widget-A,North,141,4261.85
2026-05-05,Widget-B,South,148,3719.06
2026-06-06,Gadget-X,East,235,14311.16
2026-07-07,Gadget-Y,West,396,31253.41
2026-08-08,Doohickey,Central,282,15781.44
2026-09-09,Widget-A,North,294,5958.97
2026-10-10,Widget-B,South,397,23371.21
2026-11-11,Gadget-X,East,188,11049.49
2026-12-12,Gadget-Y,West,388,5329.16
2026-01-13,Doohickey,Central,369,18344.09
2026-02-14,Widget-A,North,112,11095.82
2026-03-15,Widget-B,South,53,4040.14
2026-04-16,Gadget-X,East,335,25999.72
2026-05-17,Gadget-Y,West,153,13574.6
2026-06-18,Doohickey,Central,17,857.92
2026-07-19,Widget-A,North,179,15678.25
2026-08-20,Widget-B,South,45,2227.78
2026-09-21,Gadget-X,East,61,4867.61
2026-10-22,Gadget-Y,West,122,3523.24
2026-11-23,Doohickey,Central,378,23777.39
2026-12-24,Widget-A,North,180,15747.19
2026-01-25,Widget-B,South,313,20952.02
2026-02-26,Gadget-X,East,85,5562.71
2026-03-27,Gadget-Y,West,402,11491.48
2026-04-28,Doohickey,Central,106,8742.84
2026-05-01,Widget-A,North,292,12136.51
2026-06-02,Widget-B,South,144,9173.84
2026-07-03,Gadget-X,East,87,3403.34
2026-08-04,Gadget-Y,West,361,13114.09
2026-09-05,Doohickey,Central,294,10010.96
2026-10-06,Widget-A,North,440,24766.43
2026-11-07,Widget-B,South,461,32789.52
2026-12-08,Gadget-X,East,49,1087.46
2026-01-09,Gadget-Y,West,385,31070.34
2026-02-10,Doohickey,Central,471,7218.42
2026-03-11,Widget-A,North,142,12499.45
2026-04-12,Widget-B,South,65,4752.7
2026-05-13,Gadget-X,East,68,2207.34
2026-06-14,Gadget-Y,West,365,14227.23
2026-07-15,Doohickey,Central,127,9972.37
2026-08-16,Widget-A,North,347,15730.57
2026-09-17,Widget-B,South,73,4522.96
2026-10-18,Gadget-X,East,138,9176.06
2026-11-19,Gadget-Y,West,193,9779.17
2026-12-20,Doohickey,Central,325,26488.76
2026-01-21,Widget-A,North,394,7237.2
2026-02-22,Widget-B,South,264,20452.66
2026-03-23,Gadget-X,East,356,33556.65
2026-04-24,Gadget-Y,West,189,9622.48
2026-05-25,Doohickey,Central,250,9861.51
2026-06-26,Widget-A,North,2,176.38
2026-07-27,Widget-B,South,434,32955.86
2026-08-28,Gadget-X,East,375,36556.32
2026-09-01,Gadget-Y,West,326,22742.72
2026-10-02,Doohickey,Central,184,15915.92
2026-11-03,Widget-A,North,408,23699.99
2026-12-04,Widget-B,South,112,10877.62
2026-01-05,Gadget-X,East,423,12290.96
2026-02-06,Gadget-Y,West,138,5388.61
2026-03-07,Doohickey,Central,146,5896.64
2026-04-08,Widget-A,North,296,6436.07
2026-05-09,Widget-B,South,437,23453.97
2026-06-10,Gadget-X,East,176,15921.65
2026-07-11,Gadget-Y,West,391,5609.61
2026-08-12,Doohickey,Central,51,3383.65
2026-09-13,Widget-A,North,429,22030.16
2026-10-14,Widget-B,South,64,5992.89
2026-11-15,Gadget-X,East,81,4026.16
2026-12-16,Gadget-Y,West,1,99.26
2026-01-17,Doohickey,Central,220,6203.7
2026-02-18,Widget-A,North,353,32418.34
2026-03-19,Widget-B,South,452,30957.37
2026-04-20,Gadget-X,East,82,7272.42
2026-05-21,Gadget-Y,West,449,15558.64
2026-06-22,Doohickey,Central,336,14256.21
2026-07-23,Widget-A,North,43,1868.61
2026-08-24,Widget-B,South,463,31665.5
2026-09-25,Gadget-X,East,27,1232.84
2026-10-26,Gadget-Y,West,157,11826.65
2026-11-27,Doohickey,Central,387,12021.36
2026-12-28,Widget-A,North,336,6114.5
2026-01-01,Widget-B,South,49,494.3
2026-02-02,Gadget-X,East,245,4166.1
2026-03-03,Gadget-Y,West,304,9225.54
2026-04-04,Doohickey,Central,349,17466.06
2026-05-05,Widget-A,North,5,362.97
2026-06-06,Widget-B,South,419,8733.4
2026-07-07,Gadget-X,East,441,21167.23
2026-08-08,Gadget-Y,West,68,3602.85
2026-09-09,Doohickey,Central,118,5247.02
2026-10-10,Widget-A,North,375,30947.29
2026-11-11,Widget-B,South,53,2024.16
2026-12-12,Gadget-X,East,452,16689.19
2026-01-13,Gadget-Y,West,196,15601.88
2026-02-14,Doohickey,Central,386,34236.18
2026-03-15,Widget-A,North,329,32687.67
2026-04-16,Widget-B,South,74,1194.88
2026-05-17,Gadget-X,East,289,3107.54
2026-06-18,Gadget-Y,West,333,8245.24
2026-07-19,Doohickey,Central,180,13501.6
2026-08-20,Widget-A,North,322,24901.61
2026-09-21,Widget-B,South,471,22157.67
2026-10-22,Gadget-X,East,352,17531.2
2026-11-23,Gadget-Y,West,112,1992.7
2026-12-24,Doohickey,Central,52,1174.74
2026-01-25,Widget-A,North,64,4035.31
2026-02-26,Widget-B,South,197,8200.76
2026-03-27,Gadget-X,East,220,8424.97
2026-04-28,Gadget-Y,West,72,2324.94
2026-05-01,Doohickey,Central,331,5816.46
2026-06-02,Widget-A,North,284,18198.7
2026-07-03,Widget-B,South,370,23929.15
2026-08-04,Gadget-X,East,399,37787.35
2026-09-05,Gadget-Y,West,14,1208.2
2026-10-06,Doohickey,Central,338,30019.28
2026-11-07,Widget-A,North,106,5998.27
2026-12-08,Widget-B,South,261,7038.7
2026-01-09,Gadget-X,East,201,7354.35
2026-02-10,Gadget-Y,West,28,2254.9
2026-03-11,Doohickey,Central,407,39035.55
2026-04-12,Widget-A,North,254,11358.8
2026-05-13,Widget-B,South,124,6814.1
2026-06-14,Gadget-X,East,305,4996.23
2026-07-15,Gadget-Y,West,456,44680.12
2026-08-16,Doohickey,Central,185,17397.99
